Generation,Min,Max,Mean,Evals
Trial 0 final result: after 50000 generations the shortest path is: 803
Trial 0 Shortest path: 45, 27, 52, 34, 46, 4, 75, 76, 68, 6, 51, 17, 58, 10, 72, 39, 9, 40, 12, 26, 7, 35, 14, 59, 19, 67, 23, 56, 41, 42, 64, 43, 49, 24, 18, 50, 63, 22, 28, 61, 69, 71, 60, 70, 20, 36, 47, 21, 74, 48, 29, 30, 2, 62, 73, 33, 16, 3, 32, 38, 54, 13, 57, 15, 37, 5, 8, 53, 11, 66, 65, 31, 55, 25, 44, 
Trial 0 begin summary section
631,1687,951,1391.88,0
632,1717,951,1386.6,0
633,1647,951,1383.09,0
634,1647,951,1373.87,0
635,1644,951,1372.06,0
636,1620,951,1376.33,0
637,1662,951,1367.36,0
638,1574,951,1354.84,0
639,1605,951,1369.9,0
640,1625,951,1379.97,0
641,1600,951,1377.69,0
642,1647,951,1365.79,0
643,1694,951,1359.97,0
644,1768,951,1358.89,0
645,1640,951,1363.18,0
646,1676,951,1353.06,0
647,1712,951,1357.28,0
648,1741,951,1363.53,0
649,1716,951,1345.01,0
650,1657,951,1357.57,0
651,1649,951,1357.12,0
652,1643,951,1344.42,0
653,1606,951,1350.79,0
654,1616,951,1343.99,0
655,1641,951,1332.79,0
656,1690,951,1344.71,0
657,1686,951,1353.37,0
658,1695,951,1348.6,0
659,1695,951,1355.99,0
660,1746,951,1359.73,0
661,1698,951,1346.53,0
662,1652,951,1342.81,0
663,1668,951,1340.64,0
664,1677,951,1356.86,0
665,1678,951,1337.22,0
666,1683,951,1342.41,0
667,1675,951,1332.05,0
668,1623,951,1355.24,0
669,1643,951,1375.6,0
670,1644,951,1368.26,0
671,1642,950,1362.48,0
672,1631,950,1364.87,0
673,1690,950,1359.96,0
674,1672,950,1371.84,0
675,1670,950,1364.72,0
676,1690,950,1354.33,0
677,1692,950,1341.95,0
678,1663,950,1354,0
679,1685,950,1373.3,0
680,1674,950,1382.04,0
681,1644,950,1398.39,0
682,1694,950,1395.57,0
683,1642,950,1392.84,0
684,1631,950,1396.19,0
685,1648,950,1370.69,0
686,1681,950,1372.76,0
687,1732,950,1361.09,0
688,1699,950,1349.8,0
